,coord1,coord2,volume,dii1,dii2,from,to
1058,13.25,-0.25,6.25,652457.2226299973,652457.2226299973,23181,23208
1059,13.25,0.25,6.25,652457.2226299973,652457.2226299973,23208,23235
1060,13.25,0.75,6.25,652457.2226299973,652457.2226299973,23235,23257
1061,13.25,1.25,6.25,652457.2226299973,652457.2226299973,23257,23274
1062,13.75,-1.25,6.25,652457.2226299973,652457.2226299973,23274,23291
1063,13.75,-0.75,6.25,652457.2226299973,652457.2226299973,23291,23313
1064,13.75,-0.25,6.25,652457.2226299973,652457.2226299973,23313,23340
1065,13.75,0.25,6.25,652457.2226299973,652457.2226299973,23340,23367
1066,13.75,0.75,6.25,652457.2226299973,652457.2226299973,23367,23389
1067,13.75,1.25,6.25,652457.2226299973,652457.2226299973,23389,23406
1068,14.25,-1.25,6.25,652457.2226299973,652457.2226299973,23406,23423
1069,14.25,-0.75,6.25,652457.2226299973,652457.2226299973,23423,23445
1070,14.25,-0.25,6.25,652457.2226299973,652457.2226299973,23445,23472
1071,14.25,0.25,6.25,652457.2226299973,652457.2226299973,23472,23499
1072,14.25,0.75,6.25,652457.2226299973,652457.2226299973,23499,23521
1073,14.25,1.25,6.25,652457.2226299973,652457.2226299973,23521,23538
1074,14.75,-1.25,6.25,652457.2226299973,652457.2226299973,23538,23555
1075,14.75,-0.75,6.25,652457.2226299973,652457.2226299973,23555,23577
1076,14.75,-0.25,6.25,652457.2226299973,652457.2226299973,23577,23604
1077,14.75,0.25,6.25,652457.2226299973,652457.2226299973,23604,23631
1078,14.75,0.75,6.25,652457.2226299973,652457.2226299973,23631,23653
1079,14.75,1.25,6.25,652457.2226299973,652457.2226299973,23653,23670
1080,15.25,-1.25,6.25,652457.2226299973,652457.2226299973,23670,23687
1081,15.25,-0.75,6.25,652457.2226299973,652457.2226299973,23687,23709
1082,15.25,-0.25,6.25,652457.2226299973,652457.2226299973,23709,23736
1083,15.25,0.25,6.25,652457.2226299973,652457.2226299973,23736,23763
1084,15.25,0.75,6.25,652457.2226299973,652457.2226299973,23763,23785
1085,15.25,1.25,6.25,652457.2226299973,652457.2226299973,23785,23802
1086,15.75,-1.25,6.25,652457.2226299973,652457.2226299973,23802,23819
1087,15.75,-0.75,6.25,652457.2226299973,652457.2226299973,23819,23841
1088,15.75,-0.25,6.25,652457.2226299973,652457.2226299973,23841,23868
1089,15.75,0.25,6.25,652457.2226299973,652457.2226299973,23868,23895
1090,15.75,0.75,6.25,652457.2226299973,652457.2226299973,23895,23917
1091,15.75,1.25,6.25,652457.2226299973,652457.2226299973,23917,23934
1092,16.25,-1.25,6.25,652457.2226299973,652457.2226299973,23934,23951
1093,16.25,-0.75,6.25,652457.2226299973,652457.2226299973,23951,23973
1094,16.25,-0.25,6.25,652457.2226299973,652457.2226299973,23973,24000
1095,16.25,0.25,6.25,652457.2226299973,652457.2226299973,24000,24027
1096,16.25,0.75,6.25,652457.2226299973,652457.2226299973,24027,24049
1097,16.25,1.25,6.25,652457.2226299973,652457.2226299973,24049,24066
1098,16.75,-1.25,6.25,652457.2226299973,652457.2226299973,24066,24083
1099,16.75,-0.75,6.25,652457.2226299973,652457.2226299973,24083,24105
1100,16.75,-0.25,6.25,652457.2226299973,652457.2226299973,24105,24132
1101,16.75,0.25,6.25,652457.2226299973,652457.2226299973,24132,24159
1102,16.75,0.75,6.25,652457.2226299973,652457.2226299973,24159,24181
1103,16.75,1.25,6.25,652457.2226299973,652457.2226299973,24181,24198
1104,17.25,-1.25,6.25,652457.2226299973,652457.2226299973,24198,24215
1105,17.25,-0.75,6.25,652457.2226299973,652457.2226299973,24215,24237
1106,17.25,-0.25,6.25,652457.2226299973,652457.2226299973,24237,24264
1107,17.25,0.25,6.25,652457.2226299973,652457.2226299973,24264,24291
1108,17.25,0.75,6.25,652457.2226299973,652457.2226299973,24291,24313
1109,17.25,1.25,6.25,652457.2226299973,652457.2226299973,24313,24330
1110,17.75,-1.25,6.25,652457.2226299973,652457.2226299973,24330,24347
1111,17.75,-0.75,6.25,652457.2226299973,652457.2226299973,24347,24369
1112,17.75,-0.25,6.25,652457.2226299973,652457.2226299973,24369,24396
1113,17.75,0.25,6.25,652457.2226299973,652457.2226299973,24396,24423
1114,17.75,0.75,6.25,652457.2226299973,652457.2226299973,24423,24445
1115,17.75,1.25,6.25,652457.2226299973,652457.2226299973,24445,24462
1116,18.25,-1.25,6.25,652457.2226299973,652457.2226299973,24462,24479
1117,18.25,-0.75,6.25,652457.2226299973,652457.2226299973,24479,24501
1118,18.25,-0.25,6.25,652457.2226299973,652457.2226299973,24501,24528
1119,18.25,0.25,6.25,652457.2226299973,652457.2226299973,24528,24555
1120,18.25,0.75,6.25,652457.2226299973,652457.2226299973,24555,24577
1121,18.25,1.25,6.25,652457.2226299973,652457.2226299973,24577,24594
1122,18.75,-1.25,6.25,652457.2226299973,652457.2226299973,24594,24611
1123,18.75,-0.75,6.25,652457.2226299973,652457.2226299973,24611,24633
1124,18.75,-0.25,6.25,652457.2226299973,652457.2226299973,24633,24660
1125,18.75,0.25,6.25,652457.2226299973,652457.2226299973,24660,24687
1126,18.75,0.75,6.25,652457.2226299973,652457.2226299973,24687,24709
1127,18.75,1.25,6.25,652457.2226299973,652457.2226299973,24709,24726
1128,19.25,-1.25,6.25,652457.2226299973,652457.2226299973,24726,24743
1129,19.25,-0.75,6.25,652457.2226299973,652457.2226299973,24743,24765
1130,19.25,-0.25,6.25,652457.2226299973,652457.2226299973,24765,24792
1131,19.25,0.25,6.25,652457.2226299973,652457.2226299973,24792,24819
1132,19.25,0.75,6.25,652457.2226299973,652457.2226299973,24819,24841
1133,19.25,1.25,6.25,652457.2226299973,652457.2226299973,24841,24858
1134,19.75,-1.25,6.25,652457.2226299973,652457.2226299973,24858,24875
1135,19.75,-0.75,6.25,652457.2226299973,652457.2226299973,24875,24897
1136,19.75,-0.25,6.25,652457.2226299973,652457.2226299973,24897,24924
1137,19.75,0.25,6.25,652457.2226299973,652457.2226299973,24924,24951
1138,19.75,0.75,6.25,652457.2226299973,652457.2226299973,24951,24973
1139,19.75,1.25,6.25,652457.2226299973,652457.2226299973,24973,24990
