,coord1,coord2,volume,dii1,dii2,from,to
108,-65.75,-1.25,6.25,435858.57917777234,25703.515078655357,2286,2303
109,-65.75,-0.75,6.25,447318.41038308654,39229.65421248935,2303,2325
110,-65.75,-0.25,6.25,453061.60785433976,49851.24168491167,2325,2352
111,-65.75,0.25,6.25,453061.60785433976,49851.24168491167,2352,2379
112,-65.75,0.75,6.25,447318.41038308654,39229.65421248935,2379,2401
113,-65.75,1.25,6.25,435858.57917777234,25703.515078655357,2401,2418
114,-65.25,-1.25,6.25,435858.57917777234,25703.515078655357,2418,2435
115,-65.25,-0.75,6.25,447318.41038308654,39229.65421248935,2435,2457
116,-65.25,-0.25,6.25,453061.60785433976,49851.24168491167,2457,2484
117,-65.25,0.25,6.25,453061.60785433976,49851.24168491167,2484,2511
118,-65.25,0.75,6.25,447318.41038308654,39229.65421248935,2511,2533
119,-65.25,1.25,6.25,435858.57917777234,25703.515078655357,2533,2550
120,-64.75,-1.25,6.25,435858.57917777234,25703.515078655357,2550,2567
121,-64.75,-0.75,6.25,447318.41038308654,39229.65421248935,2567,2589
122,-64.75,-0.25,6.25,453061.60785433976,49851.24168491167,2589,2616
123,-64.75,0.25,6.25,453061.60785433976,49851.24168491167,2616,2643
124,-64.75,0.75,6.25,447318.41038308654,39229.65421248935,2643,2665
125,-64.75,1.25,6.25,435858.57917777234,25703.515078655357,2665,2682
126,-64.25,-1.25,6.25,435858.57917777234,25703.515078655357,2682,2699
127,-64.25,-0.75,6.25,447318.41038308654,39229.65421248935,2699,2721
128,-64.25,-0.25,6.25,453061.60785433976,49851.24168491167,2721,2748
129,-64.25,0.25,6.25,453061.60785433976,49851.24168491167,2748,2775
130,-64.25,0.75,6.25,447318.41038308654,39229.65421248935,2775,2797
131,-64.25,1.25,6.25,435858.57917777234,25703.515078655357,2797,2814
132,-63.75,-1.25,6.25,435858.57917777234,25703.515078655357,2814,2831
133,-63.75,-0.75,6.25,447318.41038308654,39229.65421248935,2831,2853
134,-63.75,-0.25,6.25,453061.60785433976,49851.24168491167,2853,2880
135,-63.75,0.25,6.25,453061.60785433976,49851.24168491167,2880,2907
136,-63.75,0.75,6.25,447318.41038308654,39229.65421248935,2907,2929
137,-63.75,1.25,6.25,435858.57917777234,25703.515078655357,2929,2946
138,-63.25,-1.25,6.25,435858.57917777234,25703.515078655357,2946,2963
139,-63.25,-0.75,6.25,447318.41038308654,39229.65421248935,2963,2985
140,-63.25,-0.25,6.25,453061.60785433976,49851.24168491167,2985,3012
141,-63.25,0.25,6.25,453061.60785433976,49851.24168491167,3012,3039
142,-63.25,0.75,6.25,447318.41038308654,39229.65421248935,3039,3061
143,-63.25,1.25,6.25,435858.57917777234,25703.515078655357,3061,3078
144,-62.75,-1.25,6.25,435858.57917777234,25703.515078655357,3078,3095
145,-62.75,-0.75,6.25,447318.41038308654,39229.65421248935,3095,3117
146,-62.75,-0.25,6.25,453061.60785433976,49851.24168491167,3117,3144
147,-62.75,0.25,6.25,453061.60785433976,49851.24168491167,3144,3171
148,-62.75,0.75,6.25,447318.41038308654,39229.65421248935,3171,3193
149,-62.75,1.25,6.25,435858.57917777234,25703.515078655357,3193,3210
150,-62.25,-1.25,6.25,435858.57917777234,25703.515078655357,3210,3227
151,-62.25,-0.75,6.25,447318.41038308654,39229.65421248935,3227,3249
152,-62.25,-0.25,6.25,453061.60785433976,49851.24168491167,3249,3276
153,-62.25,0.25,6.25,453061.60785433976,49851.24168491167,3276,3303
154,-62.25,0.75,6.25,447318.41038308654,39229.65421248935,3303,3325
155,-62.25,1.25,6.25,435858.57917777234,25703.515078655357,3325,3342
156,-61.75,-1.25,6.25,435858.57917777234,25703.515078655357,3342,3359
157,-61.75,-0.75,6.25,447318.41038308654,39229.65421248935,3359,3381
158,-61.75,-0.25,6.25,453061.60785433976,49851.24168491167,3381,3408
159,-61.75,0.25,6.25,453061.60785433976,49851.24168491167,3408,3435
160,-61.75,0.75,6.25,447318.41038308654,39229.65421248935,3435,3457
161,-61.75,1.25,6.25,435858.57917777234,25703.515078655357,3457,3474
162,-61.25,-1.25,6.25,435858.57917777234,25703.515078655357,3474,3491
163,-61.25,-0.75,6.25,447318.41038308654,39229.65421248935,3491,3513
164,-61.25,-0.25,6.25,453061.60785433976,49851.24168491167,3513,3540
165,-61.25,0.25,6.25,453061.60785433976,49851.24168491167,3540,3567
166,-61.25,0.75,6.25,447318.41038308654,39229.65421248935,3567,3589
167,-61.25,1.25,6.25,435858.57917777234,25703.515078655357,3589,3606
168,-60.75,-1.25,6.25,435858.57917777234,25703.515078655357,3606,3623
169,-60.75,-0.75,6.25,447318.41038308654,39229.65421248935,3623,3645
170,-60.75,-0.25,6.25,453061.60785433976,49851.24168491167,3645,3672
171,-60.75,0.25,6.25,453061.60785433976,49851.24168491167,3672,3699
172,-60.75,0.75,6.25,447318.41038308654,39229.65421248935,3699,3721
173,-60.75,1.25,6.25,435858.57917777234,25703.515078655357,3721,3738
174,-60.25,-1.25,6.25,435858.57917777234,25703.515078655357,3738,3755
175,-60.25,-0.75,6.25,447318.41038308654,39229.65421248935,3755,3777
176,-60.25,-0.25,6.25,453061.60785433976,49851.24168491167,3777,3804
177,-60.25,0.25,6.25,453061.60785433976,49851.24168491167,3804,3831
178,-60.25,0.75,6.25,447318.41038308654,39229.65421248935,3831,3853
179,-60.25,1.25,6.25,435858.57917777234,25703.515078655357,3853,3870
180,-59.75,-1.25,6.25,435858.57917777234,25703.515078655357,3870,3887
181,-59.75,-0.75,6.25,447318.41038308654,39229.65421248935,3887,3909
182,-59.75,-0.25,6.25,453061.60785433976,49851.24168491167,3909,3936
183,-59.75,0.25,6.25,453061.60785433976,49851.24168491167,3936,3963
184,-59.75,0.75,6.25,447318.41038308654,39229.65421248935,3963,3985
185,-59.75,1.25,6.25,435858.57917777234,25703.515078655357,3985,4002
186,-59.25,-1.25,6.25,435858.57917777234,25703.515078655357,4002,4019
187,-59.25,-0.75,6.25,447318.41038308654,39229.65421248935,4019,4041
188,-59.25,-0.25,6.25,453061.60785433976,49851.24168491167,4041,4068
189,-59.25,0.25,6.25,453061.60785433976,49851.24168491167,4068,4095
190,-59.25,0.75,6.25,447318.41038308654,39229.65421248935,4095,4117
191,-59.25,1.25,6.25,435858.57917777234,25703.515078655357,4117,4134
192,-58.75,-1.25,6.25,435858.57917777234,25703.515078655357,4134,4151
193,-58.75,-0.75,6.25,447318.41038308654,39229.65421248935,4151,4173
194,-58.75,-0.25,6.25,453061.60785433976,49851.24168491167,4173,4200
195,-58.75,0.25,6.25,453061.60785433976,49851.24168491167,4200,4227
196,-58.75,0.75,6.25,447318.41038308654,39229.65421248935,4227,4249
197,-58.75,1.25,6.25,435858.57917777234,25703.515078655357,4249,4266
198,-58.25,-1.25,6.25,435858.57917777234,25703.515078655357,4266,4283
199,-58.25,-0.75,6.25,447318.41038308654,39229.65421248935,4283,4305
200,-58.25,-0.25,6.25,453061.60785433976,49851.24168491167,4305,4332
201,-58.25,0.25,6.25,453061.60785433976,49851.24168491167,4332,4359
202,-58.25,0.75,6.25,447318.41038308654,39229.65421248935,4359,4381
203,-58.25,1.25,6.25,435858.57917777234,25703.515078655357,4381,4398
204,-57.75,-1.25,6.25,435858.57917777234,25703.515078655357,4398,4415
205,-57.75,-0.75,6.25,447318.41038308654,39229.65421248935,4415,4437
206,-57.75,-0.25,6.25,453061.60785433976,49851.24168491167,4437,4464
207,-57.75,0.25,6.25,453061.60785433976,49851.24168491167,4464,4491
208,-57.75,0.75,6.25,447318.41038308654,39229.65421248935,4491,4513
